main_identifier,name,sector,note
VOW3.DE,Volkswagen AG (preferred),Autos,the short leg of the thesis; the ordinary share VOW.DE trades ~79k shares a day and is not investable
BMW.DE,BMW AG,Autos,peer of VOW3
MBG.DE,Mercedes-Benz Group AG,Autos,peer of VOW3
CON.DE,Continental AG,Auto parts,supplier; shares the same demand cycle as the automakers
PAH3.DE,Porsche Automobil Holding SE (preferred),Autos,holding company whose value is mostly its VW stake; mechanically linked to VOW3 so it is not a clean peer
SAP.DE,SAP SE,Tech,
IFX.DE,Infineon Technologies AG,Tech,
SIE.DE,Siemens AG,Industrials,
RHM.DE,Rheinmetall AG,Industrials,
MTX.DE,MTU Aero Engines AG,Industrials,
AIR.DE,Airbus SE,Industrials,
G1A.DE,GEA Group AG,Industrials,
HEI.DE,Heidelberg Materials AG,Materials,
TKA.DE,thyssenkrupp AG,Materials,
BAS.DE,BASF SE,Chemicals,
SY1.DE,Symrise AG,Chemicals,
EVK.DE,Evonik Industries AG,Chemicals,
ALV.DE,Allianz SE,Financials,
MUV2.DE,Munich Re AG,Financials,
DBK.DE,Deutsche Bank AG,Financials,
CBK.DE,Commerzbank AG,Financials,
DB1.DE,Deutsche Boerse AG,Financials,
HNR1.DE,Hannover Rueck SE,Financials,
DTE.DE,Deutsche Telekom AG,Telecom,
DHL.DE,DHL Group,Transport,
LHA.DE,Deutsche Lufthansa AG,Transport,
RWE.DE,RWE AG,Utilities,
EOAN.DE,E.ON SE,Utilities,
NDX1.DE,Nordex SE,Utilities,
VNA.DE,Vonovia SE,Real estate,
BAYN.DE,Bayer AG,Health,
FRE.DE,Fresenius SE & Co. KGaA,Health,
MRK.DE,Merck KGaA,Health,
FME.DE,Fresenius Medical Care AG,Health,
SRT3.DE,Sartorius AG (preferred),Health,
QIA.DE,QIAGEN N.V.,Health,
ADS.DE,adidas AG,Consumer,
PUM.DE,PUMA SE,Consumer,
ZAL.DE,Zalando SE,Consumer,
BEI.DE,Beiersdorf AG,Consumer,
HEN3.DE,Henkel AG & Co. KGaA (preferred),Consumer,
TUI1.DE,TUI AG,Consumer,
